S.no,Youtube_channel,Youtuber_name,Category,Subscribers,Country,Average_view,Average_likes,Average_comments,Sub-category,Date
74,Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,Music & Dance,34800000.0,India,33100.0,271.0,14.0,Other,9/17/2022
75,one31,gmmonetv,Other,34600000.0,Thailand,6600.0,127.0,2.0,Other,9/23/2022
76,Mikecrack,Mikecrack,Movies,34500000.0,Mexico,2800000.0,334800.0,6100.0,Animation,9/22/2022
79,YouTube,YouTube,Other,33600000.0,United States,258800.0,0.0,0.0,Other,9/30/2022
80,Markiplier,markiplierGAME,Animation,33600000.0,United States,2600000.0,145900.0,5800.0,Video games,9/16/2022
81,VEGETTA777,vegetta777,Video games,33600000.0,Mexico,766500.0,57400.0,416.0,Other,9/24/2022
82,Total Gaming,Total Gaming,Other,33500000.0,India,1200000.0,127400.0,6300.0,Other,9/15/2022
83,ARY Digital HD,ARY Digital HD,Other,33500000.0,Pakistan,10400.0,121.0,6.0,Other,9/12/2022
84,ABP NEWS,abpnewstv,News & Politics,33500000.0,India,3500.0,43.0,4.0,Other,9/13/2022
85,Desi Music Factory,Desi Music Factory,Music & Dance,33200000.000000004,India,3200000.0,4400.0,2500.0,Other,9/7/2022
86,Ultra Bollywood,UltraHindi,Other,33100000.0,India,24900.0,217.0,9.0,Other,9/4/2022
87,Sony PAL,sonypalindia,Other,33100000.0,India,9100.0,104.0,8.0,Other,9/13/2022
88,Geet MP3,Geet MP3,Music & Dance,33100000.0,India,341800.0,22800.0,1200.0,Other,9/25/2022
89,NoCopyrightSounds,NoCopyrightSounds,Music & Dance,32900000.0,United States,362500.0,15600.0,1200.0,Other,9/15/2022
91,HAR PAL GEO,harpalgeo,Other,32799999.999999996,Pakistan,5000.0,44.0,2.0,Other,9/18/2022
92,SSSniperWolf,SSSniperWolf,Humor,32700000.000000004,United States,3900000.0,107200.0,6900.0,Other,9/21/2022
93,T-Series Apna Punjab,tseriesapnapunjab,Music & Dance,32600000.0,India,30000.0,1600.0,31.0,Other,9/27/2022
94,IndiaTV,IndiaTV,News & Politics,32400000.0,India,8600.0,134.0,12.0,Other,9/23/2022
95,KHANDESHI MOVIES,KHANDESHI MOVIES,Other,32299999.999999996,India,4500000.0,36700.0,579.0,Other,9/8/2022
97,GENIAL,GENIAL,Animation,31500000.0,Mexico,51500.0,1800.0,68.0,Other,9/12/2022
98,Eros Now Music,erosentertainment,Other,31200000.0,India,20500.0,552.0,22.0,Other,9/25/2022
